 ID,DATA E HORA,TQ SUSPENSÃO,VEL_1_RPM, VEL_5_RPM,COZEDOR, TEMP AMOSTRA C°,ASPECTO
12,6/16/2023 4:40:00 PM,Tanque 1001,123200.0,35760.0,Therlet 4,23.0,OK
29,6/19/2023 3:30:00 AM,Tanque 1003,122800.0,35120.0,Therlet 4,22.0,OK
38,6/20/2023 1:30:00 AM,Tanque 1002,134000.0,38000.0,Therlet 4,23.0,OK
40,6/20/2023 3:30:00 AM,Tanque 1002,119600.0,35280.0,Therlet 4,24.0,OK
45,6/20/2023 5:41:00 AM,Tanque 1001,148800.0,43520.0,Therlet 4,24.0,OK
51,6/20/2023 10:30:00 PM,Tanque 1002,127600.0,36560.0,Therlet 4,24.0,OK
47,6/20/2023 10:33:00 PM,Tanque 1002,127600.0,36560.0,Therlet 4,24.0,OK
53,6/21/2023 12:30:00 AM,Tanque 1002,119200.0,34000.0,Therlet 4,24.0,OK
56,6/21/2023 2:30:00 AM,Tanque 1001,132400.0,39360.0,Therlet 4,24.0,OK
60,6/21/2023 4:30:00 AM,Tanque 1001,130000.0,39040.0,Therlet 4,25.0,OK
63,6/21/2023 2:30:00 PM,Tanque 1001,138800.0,39520.0,Therlet 4,25.0,OK
67,6/21/2023 4:30:00 PM,Tanque 1002,145200.0,41320.0,Therlet 4,25.0,OK
72,6/21/2023 6:30:00 PM,Tanque 1002,146800.0,40640.0,Therlet 4,25.0,OK
76,6/21/2023 8:30:00 PM,Tanque 1001,151000.0,44600.0,Therlet 4,23.0,OK
79,6/21/2023 10:30:00 PM,Tanque 1003,137600.0,40080.0,Therlet 4,25.0,OK
86,6/22/2023 2:30:00 AM,Tanque 1001,122000.0,36160.0,Therlet 4,24.0,OK
90,6/22/2023 4:30:00 AM,Tanque 1002,141200.0,39760.0,Therlet 4,24.0,OK
94,6/22/2023 2:30:00 PM,Tanque 1001,132800.0,37440.0,Therlet 4,24.0,OK
98,6/22/2023 4:30:00 PM,Tanque 1001,146800.0,40320.0,Therlet 4,24.0,OK
102,6/22/2023 6:35:00 PM,Tanque 1003,132400.0,38400.0,Therlet 4,23.0,OK
105,6/22/2023 8:30:00 PM,Tanque 1002,142800.0,38080.0,Therlet 4,26.0,OK
106,6/22/2023 9:30:00 PM,Tanque 1002,139600.0,40080.0,Therlet 4,25.0,OK
107,6/22/2023 10:30:00 PM,Tanque 1003,132000.0,39960.0,Therlet 4,24.0,OK
112,6/23/2023 12:30:00 AM,Tanque 1002,125600.0,36000.0,Therlet 4,25.0,OK
116,6/23/2023 2:30:00 AM,Tanque 1001,152000.0,41520.0,Therlet 4,25.0,OK
120,6/23/2023 4:30:00 AM,Tanque 1001,132800.0,38320.0,Therlet 4,25.0,OK
124,6/23/2023 2:41:00 PM,Tanque 1002,130400.0,36080.0,Therlet 4,25.0,OK
128,6/23/2023 6:33:00 PM,Tanque 1002,125600.0,36320.0,Therlet 4,29.0,OK
129,6/23/2023 6:33:00 PM,Tanque 1002,125600.0,36320.0,Therlet 4,29.0,OK
131,6/23/2023 10:30:00 PM,Tanque 1002,149000.0,39600.0,Therlet 4,25.0,OK
132,6/24/2023 2:15:00 AM,Tanque 1003,128400.0,39440.0,Therlet 4,28.0,OK
133,6/24/2023 2:35:00 PM,Tanque 1001,149600.0,41560.0,Therlet 4,23.0,OK
134,6/24/2023 3:28:00 PM,Tanque 1001,144400.0,41120.0,Therlet 4,23.0,OK
135,6/24/2023 4:42:00 PM,Tanque 1001,130800.0,40480.0,Therlet 4,28.0,OK
136,6/24/2023 5:30:00 PM,Tanque 1002,132400.0,41200.0,Therlet 4,23.0,OK
137,6/24/2023 6:30:00 PM,Tanque 1002,147200.0,43840.0,Therlet 4,29.0,OK
138,6/24/2023 10:30:00 PM,Tanque 1001,123200.0,37200.0,Therlet 4,24.0,OK
139,6/24/2023 11:30:00 PM,Tanque 1001,137200.0,41280.0,Therlet 4,22.0,OK
140,6/25/2023 12:30:00 AM,Tanque 1001,130400.0,39920.0,Therlet 4,22.0,OK
141,6/25/2023 1:30:00 AM,Tanque 1001,131600.0,40240.0,Therlet 4,25.0,OK
142,6/25/2023 2:30:00 AM,Tanque 1002,139200.0,41360.0,Therlet 4,22.0,OK
143,6/25/2023 3:30:00 AM,Tanque 1002,132800.0,41120.0,Therlet 4,22.0,OK
144,6/25/2023 4:30:00 AM,Tanque 1003,137600.0,41760.0,Therlet 4,22.0,OK
145,6/25/2023 5:30:00 AM,Tanque 1003,129200.0,39520.0,Therlet 4,22.0,OK
158,6/26/2023 3:30:00 PM,Tanque 1002,138400.0,43280.0,Therlet 4,23.0,OK
160,6/26/2023 5:30:00 PM,Tanque 1003,141600.0,42320.0,Therlet 4,23.0,OK
164,6/26/2023 9:41:00 PM,Tanque 1001,136200.0,40440.0,Therlet 4,23.0,OK
169,6/26/2023 11:30:00 PM,Tanque 1003,139200.0,42320.0,Therlet 4,23.0,OK
173,6/27/2023 1:30:00 AM,Tanque 1002,141200.0,42560.0,Therlet 4,23.0,OK
175,6/27/2023 2:30:00 AM,Tanque 1003,134000.0,40960.0,Therlet 4,22.0,OK
177,6/27/2023 3:30:00 AM,Tanque 1001,137200.0,41360.0,Therlet 4,23.0,OK
179,6/27/2023 4:30:00 AM,Tanque 1002,141200.0,42320.0,Therlet 4,23.0,OK
182,6/27/2023 5:30:00 AM,Tanque 1002,143200.0,42080.0,Therlet 4,23.0,OK
183,6/27/2023 2:30:00 PM,Tanque 1003,132400.0,39200.0,Therlet 4,24.0,OK
186,6/27/2023 3:30:00 PM,Tanque 1001,137200.0,42080.0,Therlet 4,23.0,OK
189,6/27/2023 4:30:00 PM,Tanque 1002,146800.0,42960.0,Therlet 4,23.0,OK
191,6/27/2023 5:30:00 PM,Tanque 1002,145600.0,44880.0,Therlet 4,23.0,OK
195,6/27/2023 7:30:00 PM,Tanque 1001,145200.0,43040.0,Therlet 4,23.0,OK
199,6/27/2023 9:31:00 PM,Tanque 1003,148800.0,44080.0,Therlet 4,23.0,OK
203,6/27/2023 11:30:00 PM,Tanque 1002,146000.0,44000.0,Therlet 4,26.0,OK
206,6/28/2023 1:30:00 AM,Tanque 1001,137600.0,41280.0,Therlet 4,27.0,OK
294,7/2/2023 11:30:00 PM,Tanque 1002,138800.0,40400.0,Therlet 4,27.0,OK
298,7/3/2023 3:30:00 AM,Tanque 1001,136800.0,40480.0,Therlet 4,24.0,OK
303,7/3/2023 2:29:00 PM,Tanque 1002,134800.0,40480.0,Therlet 4,29.0,OK
308,7/3/2023 4:33:00 PM,Tanque 1001,144000.0,42960.0,Therlet 4,23.0,OK
312,7/3/2023 6:30:00 PM,Tanque 1002,134800.0,40960.0,Therlet 4,23.0,OK
331,7/4/2023 5:30:00 AM,Tanque 1003,136400.0,40400.0,Therlet 4,27.0,OK
335,7/4/2023 7:30:00 AM,Tanque 1003,132400.0,38150.0,Therlet 4,23.0,OK
339,7/4/2023 9:30:00 AM,Tanque 1002,123180.0,33040.0,Therlet 4,26.0,OK
343,7/4/2023 11:30:00 AM,Tanque 1002,120200.0,37750.0,Therlet 4,24.0,OK
345,7/4/2023 12:30:00 PM,Tanque 1003,132610.0,35120.0,Therlet 4,21.0,OK
347,7/4/2023 1:30:00 PM,Tanque 1001,127400.0,37600.0,Therlet 4,23.0,OK
350,7/4/2023 2:30:00 PM,Tanque 1002,136800.0,42320.0,Therlet 4,23.0,OK
348,7/4/2023 2:30:00 PM,Tanque 1001,142400.0,43760.0,Therlet 4,23.0,OK
357,7/4/2023 6:30:00 PM,Tanque 1001,137200.0,41300.0,Therlet 4,23.0,OK
356,7/4/2023 6:31:00 PM,Tanque 1001,137200.0,41300.0,Therlet 4,24.0,OK
362,7/4/2023 9:30:00 PM,Tanque 1002,115200.0,34560.0,Therlet 4,23.0,OK
321,7/4/2023 11:30:00 PM,Tanque 1003,142800.0,42800.0,Therlet 4,27.0,OK
374,7/5/2023 3:30:00 AM,Tanque 1002,138000.0,41200.0,Therlet 4,26.0,OK
382,7/5/2023 7:30:00 AM,Tanque 1003,128200.0,38000.0,Therlet 4,27.0,OK
383,7/5/2023 3:30:00 PM,Tanque 1002,140800.0,39680.0,Therlet 4,23.0,OK
389,7/5/2023 5:30:00 PM,Tanque 1002,140000.0,41200.0,Therlet 4,24.0,OK
392,7/5/2023 7:30:00 PM,Tanque 1001,150000.0,39680.0,Therlet 4,25.0,OK
396,7/5/2023 9:30:00 PM,Tanque 1001,135200.0,40240.0,Therlet 4,25.0,OK
403,7/6/2023 2:30:00 PM,Tanque 1001,144000.0,38150.0,Therlet 4,25.0,OK
410,7/6/2023 5:30:00 PM,Tanque 1002,140000.0,38600.0,Therlet 4,24.0,OK
416,7/6/2023 7:30:00 PM,Tanque 1001,138800.0,38150.0,Therlet 4,23.0,OK
419,7/6/2023 9:30:00 PM,Tanque 1003,142800.0,42480.0,Therlet 4,23.0,OK
427,7/7/2023 7:30:00 AM,Tanque 1002,132400.0,37250.0,Therlet 4,23.0,OK
429,7/7/2023 8:30:00 AM,Tanque 1003,130880.0,38200.0,Therlet 4,25.0,OK
433,7/7/2023 10:30:00 AM,Tanque 1003,130480.0,37800.0,Therlet 4,25.0,OK
438,7/7/2023 12:30:00 PM,Tanque 1002,131200.0,35080.0,Therlet 4,25.0,OK
444,7/7/2023 2:30:00 PM,Tanque 1002,140000.0,39760.0,Therlet 4,25.0,OK
448,7/7/2023 4:32:00 PM,Tanque 1001,134800.0,41680.0,Therlet 4,23.0,OK
452,7/7/2023 6:30:00 PM,Tanque 1001,145600.0,42160.0,Therlet 4,23.0,OK
456,7/7/2023 8:32:00 PM,Tanque 1003,146400.0,41440.0,Therlet 4,24.0,OK
459,7/7/2023 10:30:00 PM,Tanque 1002,130800.0,42000.0,Therlet 4,23.0,OK
463,7/8/2023 12:30:00 AM,Tanque 1001,136400.0,40960.0,Therlet 4,23.0,OK
465,7/8/2023 1:30:00 AM,Tanque 1002,135600.0,41200.0,Therlet 4,24.0,OK
466,7/8/2023 2:30:00 AM,Tanque 1002,147600.0,43520.0,Therlet 4,23.0,OK
467,7/8/2023 3:30:00 AM,Tanque 1003,150800.0,42480.0,Therlet 4,23.0,OK
471,7/8/2023 5:30:00 AM,Tanque 1001,144800.0,41760.0,Therlet 4,23.0,OK
475,7/8/2023 7:30:00 AM,Tanque 1002,130300.0,38600.0,Therlet 4,23.0,OK
478,7/8/2023 2:30:00 PM,Tanque 1002,130800.0,39520.0,Therlet 4,25.0,OK
481,7/8/2023 4:30:00 PM,Tanque 1002,117200.0,36960.0,Therlet 4,26.0,OK
485,7/8/2023 6:32:00 PM,Tanque 1003,139200.0,34240.0,Therlet 4,24.0,OK
486,7/8/2023 9:30:00 PM,Tanque 1002,118400.0,36520.0,Therlet 4,24.0,OK
489,7/8/2023 11:30:00 PM,Tanque 1003,142400.0,40880.0,Therlet 4,24.0,OK
491,7/9/2023 1:30:00 AM,Tanque 1003,133200.0,39920.0,Therlet 4,24.0,OK
492,7/9/2023 1:30:00 AM,Tanque 1003,133200.0,39920.0,Therlet 4,23.0,OK
494,7/9/2023 3:30:00 AM,Tanque 1001,143000.0,43440.0,Therlet 4,24.0,OK
495,7/9/2023 3:30:00 AM,Tanque 1001,143000.0,43440.0,Therlet 4,24.0,OK
498,7/9/2023 5:30:00 AM,Tanque 1003,141200.0,41920.0,Therlet 4,24.0,OK
499,7/9/2023 2:31:00 PM,Tanque 1001,124000.0,36400.0,Therlet 4,25.0,OK
502,7/9/2023 4:34:00 PM,Tanque 1003,135200.0,37920.0,Therlet 4,24.0,OK
506,7/9/2023 6:30:00 PM,Tanque 1002,131700.0,44080.0,Therlet 4,25.0,OK
507,7/9/2023 7:32:00 PM,Tanque 1003,136400.0,43520.0,Therlet 4,23.0,OK
508,7/9/2023 8:27:00 PM,Tanque 1003,139200.0,38000.0,Therlet 4,23.0,OK
512,7/9/2023 11:30:00 PM,Tanque 1002,140000.0,41360.0,Therlet 4,28.0,OK
517,7/10/2023 1:30:00 AM,Tanque 1002,135200.0,39120.0,Therlet 4,29.0,OK
521,7/10/2023 3:30:00 AM,Tanque 1001,128000.0,38240.0,Therlet 4,26.0,OK
525,7/10/2023 5:30:00 AM,Tanque 1001,141200.0,40480.0,Therlet 4,24.0,OK
529,7/10/2023 3:34:00 PM,Tanque 1002,134000.0,39600.0,Therlet 4,25.0,OK
534,7/10/2023 6:29:00 PM,Tanque 1001,133600.0,38400.0,Therlet 4,24.0,OK
540,7/10/2023 9:32:00 PM,Tanque 1002,135600.0,39200.0,Therlet 4,25.0,OK
549,7/11/2023 1:30:00 AM,Tanque 1003,127200.0,38720.0,Therlet 4,28.0,OK
554,7/11/2023 4:30:00 AM,Tanque 1001,143200.0,42320.0,Therlet 4,24.0,OK
558,7/11/2023 6:30:00 AM,Tanque 1001,129000.0,37600.0,Therlet 4,24.0,OK
564,7/11/2023 3:33:00 PM,Tanque 1002,129200.0,37360.0,Therlet 4,23.0,OK
569,7/11/2023 6:22:00 PM,Tanque 1002,145600.0,38080.0,Therlet 4,26.0,OK
576,7/11/2023 9:32:00 PM,Tanque 1003,139200.0,41040.0,Therlet 4,25.0,OK
582,7/12/2023 12:30:00 AM,Tanque 1002,131600.0,39840.0,Therlet 4,25.0,OK
592,7/12/2023 3:30:00 AM,Tanque 1001,130400.0,39200.0,Therlet 4,25.0,OK
596,7/12/2023 7:30:00 AM,Tanque 1003,126600.0,38000.0,Therlet 4,25.0,OK
600,7/12/2023 9:30:00 AM,Tanque 1003,124200.0,34080.0,Therlet 4,25.0,OK
603,7/12/2023 12:30:00 PM,Tanque 1002,131600.0,38880.0,Therlet 4,23.0,OK
607,7/12/2023 2:38:00 PM,Tanque 1001,126400.0,38880.0,Therlet 4,28.0,OK
611,7/12/2023 4:30:00 PM,Tanque 1003,134600.0,42720.0,Therlet 4,25.0,OK
615,7/12/2023 6:30:00 PM,Tanque 1003,134000.0,37400.0,Therlet 4,24.0,OK
621,7/12/2023 9:31:00 PM,Tanque 1002,134520.0,40960.0,Therlet 4,23.0,OK
627,7/13/2023 12:30:00 AM,Tanque 1003,135200.0,39450.0,Therlet 4,24.0,OK
631,7/13/2023 2:30:00 AM,Tanque 1003,125200.0,38640.0,Therlet 4,24.0,OK
637,7/13/2023 5:30:00 AM,Tanque 1001,132000.0,37520.0,Therlet 4,24.0,OK
642,7/13/2023 11:30:00 AM,Tanque 1002,127450.0,37000.0,Therlet 4,25.0,OK
646,7/13/2023 1:30:00 PM,Tanque 1003,130500.0,38330.0,Therlet 4,25.0,OK
647,7/13/2023 2:30:00 PM,Tanque 1001,133600.0,40240.0,Therlet 4,23.0,OK
651,7/13/2023 4:30:00 PM,Tanque 1003,134800.0,40880.0,Therlet 4,23.0,OK
655,7/13/2023 6:30:00 PM,Tanque 1002,133600.0,39840.0,Therlet 4,23.0,OK
660,7/13/2023 8:35:00 PM,Tanque 1002,150400.0,43040.0,Therlet 4,24.0,OK
665,7/14/2023 12:37:00 AM,Tanque 1003,133200.0,38200.0,Therlet 4,24.0,OK
669,7/14/2023 2:30:00 AM,Tanque 1003,134400.0,40480.0,Therlet 4,25.0,OK
674,7/14/2023 4:30:00 AM,Tanque 1002,122000.0,38960.0,Therlet 4,24.0,OK
682,7/14/2023 8:37:00 AM,Tanque 1003,117700.0,35250.0,Therlet 4,25.0,OK
686,7/14/2023 9:30:00 AM,Tanque 1003,130500.0,37640.0,Therlet 4,25.0,OK
690,7/14/2023 11:30:00 AM,Tanque 1002,124300.0,36800.0,Therlet 4,24.0,OK
695,7/14/2023 2:30:00 PM,Tanque 1002,131600.0,37680.0,Therlet 4,23.0,OK
698,7/14/2023 4:30:00 PM,Tanque 1002,148800.0,41760.0,Therlet 4,23.0,OK
700,7/14/2023 6:30:00 PM,Tanque 1003,149750.0,42000.0,Therlet 4,23.0,OK
704,7/14/2023 11:30:00 PM,Tanque 1002,142000.0,40480.0,Therlet 4,24.0,OK
707,7/15/2023 12:30:00 AM,Tanque 1002,131600.0,39840.0,Therlet 4,24.0,OK
709,7/15/2023 1:30:00 AM,Tanque 1002,134400.0,42800.0,Therlet 4,23.0,OK
713,7/15/2023 5:55:00 AM,Tanque 1001,129200.0,36160.0,Therlet 4,25.0,OK
714,7/15/2023 6:30:00 AM,Tanque 1002,124400.0,37500.0,Therlet 4,24.0,OK
715,7/15/2023 7:30:00 AM,Tanque 1002,127600.0,37150.0,Therlet 4,25.0,OK
735,7/15/2023 5:35:00 PM,Tanque 1003,137200.0,42160.0,Therlet 4,23.0,OK
739,7/15/2023 7:33:00 PM,Tanque 1002,128000.0,42280.0,Therlet 4,23.0,OK
743,7/15/2023 9:33:00 PM,Tanque 1001,128400.0,40320.0,Therlet 4,23.0,OK
746,7/15/2023 11:30:00 PM,Tanque 1001,141100.0,44720.0,Therlet 4,23.0,OK
748,7/16/2023 1:30:00 AM,Tanque 1003,153000.0,40480.0,Therlet 4,23.0,OK
749,7/16/2023 2:30:00 AM,Tanque 1001,148000.0,43600.0,Therlet 4,24.0,OK
750,7/16/2023 3:30:00 AM,Tanque 1001,151100.0,44300.0,Therlet 4,24.0,OK
752,7/16/2023 4:30:00 AM,Tanque 1002,152800.0,44800.0,Therlet 4,25.0,OK
755,7/16/2023 6:30:00 AM,Tanque 1003,136400.0,136400.0,Therlet 4,25.0,OK
757,7/16/2023 7:30:00 AM,Tanque 1001,130500.0,38200.0,Therlet 4,25.0,OK
759,7/16/2023 8:30:00 AM,Tanque 1002,125000.0,33180.0,Therlet 4,25.0,OK
763,7/16/2023 10:30:00 AM,Tanque 1001,126710.0,39400.0,Therlet 4,25.0,OK
766,7/16/2023 11:30:00 AM,Tanque 1001,109600.0,36400.0,Therlet 4,25.0,OK
768,7/16/2023 12:30:00 PM,Tanque 1002,119450.0,37600.0,Therlet 4,26.0,OK
774,7/16/2023 3:33:00 PM,Tanque 1003,139200.0,39440.0,Therlet 4,26.0,OK
776,7/16/2023 4:33:00 PM,Tanque 1001,152000.0,41760.0,Therlet 4,23.0,OK
778,7/16/2023 5:33:00 PM,Tanque 1002,142800.0,40720.0,Therlet 4,23.0,OK
780,7/16/2023 8:30:00 PM,Tanque 1001,131600.0,37600.0,Therlet 4,25.0,OK
785,7/17/2023 6:30:00 AM,Tanque 1001,132120.0,40000.0,Therlet 4,24.0,OK
787,7/17/2023 7:30:00 AM,Tanque 1002,126180.0,34120.0,Therlet 4,25.0,OK
789,7/17/2023 8:20:00 AM,Tanque 1003,134900.0,34440.0,Therlet 4,24.0,OK
794,7/17/2023 2:30:00 PM,Tanque 1002,130000.0,39360.0,Therlet 4,26.0,OK
795,7/17/2023 2:33:00 PM,Tanque 1002,134800.0,38480.0,Therlet 4,26.0,OK
798,7/17/2023 4:33:00 PM,Tanque 1001,117600.0,37120.0,Therlet 4,25.0,OK
802,7/17/2023 6:31:00 PM,Tanque 1001,128400.0,38440.0,Therlet 4,26.0,OK
806,7/17/2023 8:30:00 PM,Tanque 1002,138800.0,40800.0,Therlet 4,25.0,OK
810,7/17/2023 10:30:00 PM,Tanque 1001,138000.0,38880.0,Therlet 4,25.0,OK
815,7/18/2023 12:30:00 AM,Tanque 1001,152400.0,43040.0,Therlet 4,25.0,OK
825,7/18/2023 8:30:00 AM,Tanque 1001,129120.0,40960.0,Therlet 4,24.0,OK
829,7/18/2023 10:25:00 AM,Tanque 1003,130000.0,36020.0,Therlet 4,22.0,OK
831,7/18/2023 11:30:00 AM,Tanque 1001,145000.0,39450.0,Therlet 4,26.0,OK
835,7/18/2023 1:30:00 PM,Tanque 1003,136000.0,37000.0,Therlet 4,22.0,OK
836,7/18/2023 2:30:00 PM,Tanque 1002,124000.0,35760.0,Therlet 4,25.0,OK
842,7/18/2023 5:27:00 PM,Tanque 1002,136000.0,38800.0,Therlet 4,23.0,OK
844,7/18/2023 6:30:00 PM,Tanque 1003,142800.0,38800.0,Therlet 4,23.0,OK
848,7/18/2023 8:31:00 PM,Tanque 1001,139200.0,41040.0,Therlet 4,29.0,OK
851,7/18/2023 9:35:00 PM,Tanque 1001,132000.0,37360.0,Therlet 4,29.0,OK
853,7/18/2023 10:30:00 PM,Tanque 1002,146000.0,41920.0,Therlet 4,21.0,OK
866,7/19/2023 8:30:00 AM,Tanque 1001,114090.0,38220.0,Therlet 4,23.0,OK
870,7/19/2023 10:30:00 AM,Tanque 1003,119000.0,34180.0,Therlet 4,22.0,OK
875,7/19/2023 2:31:00 PM,Tanque 1002,144000.0,40560.0,Therlet 4,25.0,OK
882,7/19/2023 6:37:00 PM,Tanque 1001,137600.0,40720.0,Therlet 4,23.0,OK
886,7/19/2023 8:33:00 PM,Tanque 1002,150800.0,43200.0,Therlet 4,23.0,OK
888,7/19/2023 9:34:00 PM,Tanque 1001,140120.0,41680.0,Therlet 4,23.0,OK
893,7/20/2023 12:30:00 AM,Tanque 1002,136800.0,39920.0,Therlet 4,24.0,OK
899,7/20/2023 3:30:00 AM,Tanque 1003,125200.0,36800.0,Therlet 4,24.0,OK
900,7/20/2023 4:30:00 AM,Tanque 1001,124800.0,36000.0,Therlet 4,24.0,OK
901,7/20/2023 5:30:00 AM,Tanque 1001,126800.0,37520.0,Therlet 4,24.0,OK
904,7/20/2023 6:30:00 AM,Tanque 1002,130400.0,37250.0,Therlet 4,24.0,OK
905,7/20/2023 7:30:00 AM,Tanque 1003,125500.0,38140.0,Therlet 4,25.0,OK
912,7/20/2023 9:30:00 AM,Tanque 1002,132150.0,37500.0,Therlet 4,24.0,OK
910,7/20/2023 11:30:00 AM,Tanque 1001,127700.0,37400.0,Therlet 4,23.0,OK
916,7/20/2023 12:30:00 PM,Tanque 1001,129000.0,33040.0,Therlet 4,21.0,OK
918,7/20/2023 1:30:00 PM,Tanque 1002,138450.0,39000.0,Therlet 4,23.0,OK
922,7/20/2023 3:33:00 PM,Tanque 1003,136800.0,38240.0,Therlet 4,25.0,OK
925,7/20/2023 5:30:00 PM,Tanque 1002,150400.0,40240.0,Therlet 4,24.0,OK
930,7/20/2023 7:31:00 PM,Tanque 1003,130800.0,37040.0,Therlet 4,25.0,OK
933,7/20/2023 9:33:00 PM,Tanque 1003,152400.0,43920.0,Therlet 4,25.0,OK
939,7/21/2023 1:30:00 AM,Tanque 1002,146400.0,43440.0,Therlet 4,23.0,OK
942,7/21/2023 4:30:00 AM,Tanque 1002,145200.0,42640.0,Therlet 4,23.0,OK
946,7/21/2023 7:30:00 AM,Tanque 1003,132400.0,38640.0,Therlet 4,23.0,OK
950,7/21/2023 9:31:00 AM,Tanque 1002,135600.0,38800.0,Therlet 4,24.0,OK
954,7/21/2023 11:31:00 AM,Tanque 1001,137300.0,38660.0,Therlet 4,24.0,OK
958,7/21/2023 1:30:00 PM,Tanque 1003,133300.0,39500.0,Therlet 4,25.0,OK
959,7/21/2023 2:30:00 PM,Tanque 1001,133000.0,39800.0,Therlet 4,26.0,OK
962,7/21/2023 5:30:00 PM,Tanque 1003,141600.0,43040.0,Therlet 4,24.0,OK
968,7/21/2023 10:31:00 PM,Tanque 1002,151200.0,44100.0,Therlet 4,22.0,OK
972,7/22/2023 12:31:00 AM,Tanque 1001,138800.0,44000.0,Therlet 4,22.0,OK
1005,7/23/2023 12:36:00 PM,Tanque 1003,127700.0,38400.0,Therlet 4,24.0,OK
1009,7/23/2023 2:33:00 PM,Tanque 1002,145600.0,42240.0,Therlet 4,28.0,OK
1011,7/23/2023 3:33:00 PM,Tanque 1002,151600.0,42960.0,Therlet 4,25.0,OK
1013,7/23/2023 4:33:00 PM,Tanque 1003,147200.0,44420.0,Therlet 4,23.0,OK
1017,7/23/2023 6:33:00 PM,Tanque 1002,131200.0,36480.0,Therlet 4,28.0,OK
1020,7/23/2023 8:30:00 PM,Tanque 1003,124500.0,35970.0,Therlet 4,23.0,OK
1023,7/23/2023 9:33:00 PM,Tanque 1002,134700.0,37950.0,Therlet 4,26.0,OK
1026,7/23/2023 11:30:00 PM,Tanque 1001,121900.0,35460.0,Therlet 4,26.0,OK
1027,7/24/2023 12:30:00 AM,Tanque 1002,130900.0,39040.0,Therlet 4,24.0,OK
1030,7/24/2023 3:29:00 AM,Tanque 1001,118100.0,33860.0,Therlet 4,25.0,OK
1032,7/24/2023 5:30:00 AM,Tanque 1002,114900.0,34240.0,Therlet 4,24.0,OK
1036,7/24/2023 7:56:00 AM,Tanque 1002,116600.0,38100.0,Therlet 4,25.0,OK
